C1,C2,C3,C4,C5,C6,C7,C8
1.5,22,18.5,,,,,
2.5,30,25,,,,,
4,40,34,,,,,
6,51,43,,,,,
10,70,60,,,,,
16,94,80,,,,,
25,119,101,131,110,114,146,130
35,148,126,162,137,143,181,162
50,180,153,196,167,174,219,197
70,232,198,251,216,225,281,254
95,282,238,304,264,275,341,311
120,328,278,352,308,321,396,362
150,379,319,406,356,372,456,419
185,434,364,463,409,427,521,480
240,514,430,546,485,507,615,569
300,593,497,629,561,587,709,659
400,,,754,656,689,852,795
500,,,868,749,789,982,920
630,,,1005,855,905,1138,1070
