Model,Ah,480,300,180,120,90,60,30,20,15,10,5,1,0.5,0.083,0.017
HC9P,9,1.13,1.8,2.96,4.39,5.79,8.4,15.3,20.4,23.5,28,34.7,46.6,52.7,66.9,70.9
HC12P,12,1.5,2.4,3.95,5.86,7.73,11.3,20.4,27.2,31.3,37.3,46.3,62.2,70.2,89.3,94.5
HC17P,17,2.13,3.4,5.59,8.3,10.9,15.9,28.9,38.6,44.4,52.9,65.6,88.1,99.5,126,134
HC21P,21,2.63,4.2,6.9,10.25,13.5,19.7,35.7,47.6,54.8,65.3,81,109,123,156,165
HC25P,25,3.13,5,8.22,12.2,16.1,23.4,42.5,56.7,65.3,77.7,96.5,130,146,186,197
HC29P,29,3.63,5.8,9.53,14.2,18.7,27.2,49.3,65.8,75.7,90.2,112,150,170,216,228
HC34P,34,4.25,6.8,11.2,16.6,21.9,31.9,57.8,77.1,88.8,106,131,176,199,253,268
HC40P,40,5.02,8,13.1,19.5,25.7,37.6,69,92.7,108,128,159,206,235,296,325
HC50P,50,6.28,10,16.4,24.4,32.1,47,86.2,116,135,160,199,258,294,370,407
HC60P,60,7.53,12,19.7,29.3,38.6,56.4,103,139,162,193,239,309,353,444,488
HC70P,70,8.79,14,23,34.1,45,65.8,121,162,189,225,279,361,411,519,569
HC80P,80,10,16,26.3,39,51.4,75.2,138,185,216,257,318,412,470,593,651
HC90P,90,11.3,18,29.6,43.9,57.9,84.6,155,208,243,289,358,464,529,667,732
HC100P,100,12.6,20,32.9,48.8,64.3,94,172,232,270,321,398,515,588,741,813
HC110P,110,13.8,22,36.1,53.7,70.7,103,190,255,297,353,438,567,647,815,895
HC120P,120,15.1,24,39.4,58.5,77.1,113,207,278,324,385,478,618,705,889,976
HC130P,130,16.3,26,42.9,63.6,83.7,122,222,299,342,405,491,616,695,845,899
HC145P,145,18.2,29,47.9,70.9,93.3,137,248,333,382,451,547,687,776,943,1003
HC155P,155,19.4,31,51.2,75.8,99.8,146,265,356,408,482,585,734,829,1008,1072
HC170P,170,21.3,34,56.1,83.1,109,160,291,391,448,529,642,806,909,1106,1176
HC185P,185,23.2,37,61.1,90.5,119,174,316,425,487,576,698,877,989,1203,1280
HC210P,210,26.3,42,69.3,103,135,198,359,483,553,654,793,995,1123,1366,1453
HB230P,230,28.8,46,75.9,112,148,217,393,529,606,716,868,1090,1230,1496,1591
HB255P,255,31.9,51,84.2,125,164,240,436,586,672,794,963,1208,1364,1658,1764
HB270P,270,33.8,54,89.1,132,174,254,462,621,711,840,1019,1279,1444,1756,1868
HB280P,280,35.1,56,92.4,137,180,264,479,644,738,871,1057,1327,1498,1821,1937
HB305P,305,38.2,61,101,149,196,287,522,701,803,949,1151,1445,1631,1983,2110
HB325P,325,40.7,65,107,159,209,306,556,747,856,1011,1227,1540,1738,2114,2248
HB345P,345,43.2,69,114,169,222,325,590,793,909,1074,1302,1635,1845,2244,2386
HB365P,365,45.7,73,120,179,235,344,624,839,962,1136,1378,1730,1952,2374,2525
HB385P,385,48.2,77,127,188,248,363,658,885,1014,1198,1453,1824,2059,2504,2663
HB400P,400,50.1,80,132,196,258,377,684,919,1054,1245,1510,1895,2139,2601,2767
HB420P,420,52.6,84,139,205,270,396,718,965,1106,1307,1585,1990,2246,2731,2905
HB440P,440,55.1,88,145,215,283,415,753,1011,1159,1369,1661,2085,2353,2861,3044
HB460P,460,57.6,92,152,225,296,433,787,1057,1212,1432,1736,2180,2460,2992,3182
HB510P,510,63.9,102,168,249,328,481,872,1172,1343,1587,1925,2417,2728,3317,3528
HB560P,560,70.2,112,185,274,361,528,958,1287,1475,1743,2114,2654,2995,3642,3874
HB600P,600,75.2,120,198,293,386,565,1026,1379,1581,1867,2265,2843,3209,3902,4150
HB615P,615,77,123,203,301,396,579,1052,1414,1620,1914,2321,2914,3289,4000,4254
HB640P,640,80.2,128,211,313,412,603,1095,1471,1686,1992,2416,3033,3423,4162,4427
HB655P,655,82.1,131,216,320,422,617,1120,1506,1725,2038,2472,3104,3503,4260,4531
HB670P,670,83.9,134,221,328,431,631,1146,1540,1765,2085,2529,3175,3584,4357,4635
HB705P,705,88.3,141,233,345,454,664,1206,1620,1857,2194,2661,3341,3771,4585,4877
HB765P,765,95.8,153,253,374,493,721,1308,1758,2015,2381,2888,3625,4092,4975,5292
HB800P,800,100,160,264,391,515,754,1368,1839,2107,2490,3020,3791,4279,5203,5534
HB865P,865,108,173,286,423,557,815,1479,1988,2279,2692,3265,4099,4627,5625,5983
HB920P,920,115,184,304,450,592,867,1573,2115,2424,2863,3473,4359,4921,5983,6364
