Model,Ah,480,300,180,120,90,60,30,20,15,10,5,1,0.5,0.083,0.017
HC9P,9,1.05,1.67,2.72,3.81,4.85,6.37,9.32,11.1,12.7,14.6,17.9,24.6,28.7,34.9,41.9
HC12P,12,1.4,2.22,3.62,5.08,6.47,8.5,12.4,14.9,16.9,19.4,23.9,32.8,38.3,46.5,55.8
HC17P,17,1.99,3.15,5.13,7.2,9.16,12,17.6,21,23.9,27.5,33.9,46.4,54.2,65.9,79.1
HC21P,21,2.45,3.89,6.34,8.89,11.3,14.9,21.7,26,29.5,34,41.9,57.4,66.9,81.4,97.7
HC25P,25,2.92,4.63,7.55,10.6,13.5,17.7,25.9,30.9,35.1,40.5,49.9,68.3,79.7,96.9,116
HC29P,29,3.39,5.37,8.75,12.3,15.6,20.5,30,35.9,40.8,47,57.8,79.2,92.4,112,135
HC34P,34,3.97,6.29,10.3,14.4,18.3,24.1,35.2,42.1,47.8,55.1,67.8,92.9,108,132,158
HC40P,40,4.69,7.39,12.1,17.7,22.9,30.5,41.6,49.6,55.6,63,77.1,111,128,160,168
HC50P,50,5.87,9.23,15.2,22.1,28.7,38.1,52,62,69.5,78.7,96.3,138,160,200,210
HC60P,60,7.04,11.1,18.2,26.6,34.4,45.7,62.5,74.4,83.4,94.5,116,166,192,240,252
HC70P,70,8.21,12.9,21.2,31,40.1,53.3,72.9,86.8,97.3,110,135,194,224,280,294
HC80P,80,9.39,14.8,24.2,35.4,45.9,60.9,83.3,99.1,111,126,154,221,256,320,336
HC90P,90,10.6,16.6,27.3,39.9,51.6,68.6,93.7,112,125,142,173,249,288,360,378
HC100P,100,11.7,18.5,30.3,44.3,57.3,76.2,104,124,139,157,193,277,320,400,420
HC110P,110,12.9,20.3,33.3,48.7,63.1,83.8,115,136,153,173,212,304,352,440,462
HC120P,120,14.1,22.2,36.4,53.1,68.8,91.4,125,149,167,189,231,332,384,480,504
HC130P,130,15.3,24.1,39.4,55.4,70.3,92.2,135,161,181,205,250,329,377,443,459
HC145P,145,17.1,26.9,43.9,61.8,78.4,103,151,180,202,228,279,366,420,494,512
HC155P,155,18.2,28.7,46.9,66,83.8,110,161,192,216,244,299,392,449,528,547
HC170P,170,20,31.5,51.5,72.4,91.9,121,177,211,236,268,327,430,493,580,600
HC185P,185,21.8,34.3,56,78.8,100,131,193,229,257,291,356,468,536,631,653
HC210P,210,24.7,38.9,63.6,89.5,114,149,219,260,292,331,405,531,608,716,741
HB230P,230,27.1,42.6,69.7,98,124,163,239,285,320,362,443,581,666,784,812
HB255P,255,30,47.2,77.2,109,138,181,265,316,355,402,491,644,739,869,900
HB270P,270,31.8,50,81.8,115,146,191,281,335,375,425,520,682,782,921,953
HB280P,280,32.9,51.9,84.8,119,151,198,291,347,389,441,539,708,811,955,988
HB305P,305,35.9,56.5,92.4,130,165,216,317,378,424,480,588,771,884,1040,1076
HB325P,325,38.2,60.2,98.4,138,176,230,338,403,452,512,626,821,942,1108,1147
HB345P,345,40.6,63.9,104,147,187,245,359,428,480,543,665,872,1000,1176,1218
HB365P,365,42.9,67.6,111,155,197,259,380,452,508,575,703,922,1058,1244,1288
HB385P,385,45.3,71.3,117,164,208,273,401,477,535,606,742,973,1116,1313,1359
HB400P,400,47.1,74.1,121,170,216,284,416,496,556,630,771,1011,1159,1364,1412
HB420P,420,49.4,77.8,127,179,227,298,437,521,584,661,809,1061,1217,1432,1482
HB440P,440,51.8,81.5,133,187,238,312,458,545,612,693,848,1112,1275,1500,1553
HB460P,460,54.1,85.2,139,196,249,326,479,570,640,724,886,1163,1333,1568,1624
HB510P,510,60,94,154,217,276,362,531,632,709,803,982,1289,1478,1739,1800
HB560P,560,65.9,104,170,239,303,397,583,694,779,882,1079,1415,1623,1909,1976
HB600P,600,70.6,111,182,256,324,425,625,744,834,945,1156,1516,1739,2046,2118
HB615P,615,72.4,114,186,262,333,436,640,762,855,968,1185,1554,1782,2097,2171
HB640P,640,75.3,119,194,273,346,454,666,793,890,1008,1233,1617,1854,2182,2259
HB655P,655,77.1,121,198,279,354,464,682,812,911,1031,1262,1655,1898,2233,2312
HB670P,670,78.8,124,203,285,362,475,697,830,932,1055,1291,1693,1941,2284,2365
HB705P,705,82.9,131,213,300,381,500,734,874,980,1110,1358,1782,2043,2404,2488
HB765P,765,90,142,232,326,414,542,796,948,1064,1205,1474,1933,2217,2608,2700
HB800P,800,94.1,148,242,341,433,567,833,991,1112,1260,1541,2022,2318,2728,2824
HB865P,865,102,160,262,368,468,613,900,1072,1203,1362,1666,2186,2506,2949,3053
HB920P,920,108,170,279,392,497,652,958,1140,1279,1449,1772,2325,2666,3137,3247
