kW,Frame_Size,Speed,eta_full,eta_three_fourth,eta_half,pf,In,Is_by_In,Tn,Ti_by_Tn,Tb_by_Tn,J,weight
0.37,E2BA80A6,915,69,69,64.4,0.69,1.1,6,3.9,1.8,2.2,0.00187,15
0.55,E2BA80B6,920,72.9,72.9,70.6,0.71,1.5,6,5.7,1.8,2.2,0.00239,17
0.75,E2BA90SLC6,960,75.9,75.9,69.7,0.6,2.3,6,7.5,2.3,3.1,0.00444,25
1.1,E2BA90SLE6,930,78.1,78.1,75.4,0.66,3,6,11.3,1.9,2.3,0.0054,28
1.5,E2BA100L6,950,79.8,79.8,76.8,0.69,3.8,6,15,2.2,2.7,0.00873,37
2.2,E2BA112MB6,950,81.8,81.8,79.3,0.69,5.4,7,22.1,1.7,2.3,0.0125,44
3.7,E2BA132SMB6,970,84.3,84.3,82.4,0.7,8.8,7,36.4,1.5,2.2,0.03336,69
5.5,E2BA132SMF6,965,86,86,85,0.71,12.5,7,54.4,2.5,2.8,0.0487,86
7.5,M2BAX160MLA6,967,87.2,88,86.8,0.79,15.3,6.5,74,1.9,2.6,0.089,122
9.3,M2BAX160MLJ6,968,88,88.6,87.8,0.79,18.9,6.5,92,2.1,2.8,0.119,141
11,M2BAX160MLB6,970,88.7,89.2,88.5,0.78,22.3,7,108,2.3,3,0.1293,147
15,M2BAX180MLA6,972,89.7,90.1,89.4,0.76,30.9,7,147,2.3,3.2,0.1522,173
18.5,M2BAX200MLA6,972,90.4,90.8,90,0.79,36.5,6,182,1.7,2.5,0.198,190
22,M2BAX200MLB6,973,90.9,91.2,90.6,0.79,43.1,6,216,1.7,2.5,0.2384,212
30,M2BAX225SMA6,985,91.7,92,91.2,0.83,55.2,6.5,291,2.3,2.8,0.5687,284
37,M2BAX250SMA6,985,92.2,92.4,91.9,0.82,68.5,6,359,2,2.6,0.8042,337
45,E2HX280SMA6,988,92.7,92.7,90.7,0.84,80,7,435,2.2,2.4,1.8,590
55,E2HX280SMB6,988,93.1,93.1,91.1,0.84,98,7,532,2.2,2.4,2.025,600
75,E2BA315SMA6,989,93.7,93.7,91.7,0.85,131,7,724,2.4,2.7,3.887,932
90,E2BA315SMB6,990,94,94,92,0.85,157,7,868,2.4,2.8,4.8,1005
110,E2BA315SMC6,990,94.3,94.3,92.3,0.85,191,7,1061,2.5,3,5.45,1072
125,E2BA315MLC6k,990,94.4,94.4,92.4,0.86,214,7,1206,2.5,3,7.05,1305
132,E2BA315MLC6,988,94.6,94.6,92.6,0.86,226,7,1276,2.3,2.6,7.05,1305
160,E2BA355SMA6,989,94.8,94.8,92.8,0.85,276,7,1545,2,2.7,9.8,1675
200,E2BA355SMB6,990,95,95,93,0.84,349,7,1929,2.5,2.8,12.625,1800
250,E2BA355MLA6,988,95,95,93,0.85,431,7,2416,2.3,2.7,13.75,1940
315,E2BA355MLB6,990,95,95,93,0.84,549,7,3039,2.5,2.8,15.06,2040
