kW,Frame_Size,Speed,eta_full,eta_three_fourth,eta_half,pf,In,Is_by_In,Tn,Ti_by_Tn,Tb_by_Tn,J,weight
0.37,E2BA71A2,2660,72.2,72.2,72,0.8,0.92,3.9,1.3,2.2,2.3,0.00039,11
0.55,E2BA71B2,2680,74.8,74.8,74,0.85,1.2,4.3,2,2.4,2.5,0.00051,11
0.75,E2BA80B2,2895,77.4,77.4,73,0.74,1.8,6.5,2.5,2.4,4.2,0.001,16
1.1,E2BA80C2,2870,79.6,79.6,78,0.8,2.4,6.5,3.7,2.7,3.5,0.0012,18
1.5,E2BA90SLB2,2900,81.3,81.3,79.9,0.86,3,6.5,4.9,2.5,2.6,0.00254,24
2.2,E2BA90SLC2,2885,83.2,83.2,82.2,0.87,4.2,7,7.3,1.9,2.5,0.0028,25
3.7,E2BA100LC2,2905,85.5,85.5,85,0.86,7,7,12.2,2.9,3.2,0.00575,37
5.5,E2BA132SMB2,2865,87,87,85.8,0.86,10.2,7,18.3,2,2.7,0.01275,68
7.5,E2BA132SMC2,2890,88.1,88.1,86.3,0.84,14.1,7,24.8,2,3.6,0.01359,70
11,M2BAX160MLA2,2925,89.4,89.7,88.2,0.88,19.6,7,36,2.4,3,0.0415,105
15,M2BAX160MLB2,2930,90.3,90.7,90,0.9,25.9,7,49,2.4,3,0.0544,120
18.5,M2BAX160MLC2,2934,90.9,91.2,90.4,0.9,31.7,7,60,2.6,3.1,0.0581,131
22,M2BAX180MLA2,2936,91.3,91.7,91,0.91,37.3,7,72,3,3.5,0.0679,152
30,M2BAX200MLA2,2940,92,92.4,91.5,0.9,50.7,7,97,2.5,3.2,0.1077,198
37,M2BAX200MLB2,2950,92.5,92.8,91.7,0.89,62.9,7,120,3,3.8,0.1332,232
45,M2BAX225SMA2,2956,92.9,92.6,92,0.9,75.7,7,145,2.4,3.2,0.2443,295
55,M2BAX250SMA2,2960,93.2,93.8,92.8,0.9,91.7,7,177,2.6,3,0.316,344
75,E2HX280SMB2,2970,93.8,93.8,92.8,0.92,121,7,241,2.3,2.7,1.025,690
90,E2HX280SMC2,2970,94.1,94.1,93.1,0.92,145,7,289,2.3,2.5,1.2,685
110,E2BA315SMA2,2980,94.3,94.3,93.3,0.9,180,7,353,2.4,2.7,1.41,935
125,E2BA315SMB2k,2980,94.5,94.5,93.5,0.9,204,7,401,2.4,2.7,1.61,975
132,E2BA315SMB2,2980,94.6,94.6,93.6,0.9,216,7,423,2.4,2.7,1.61,975
150,E2BA315MLA2,2980,94.8,94.8,93.8,0.9,261,7,513,2.3,3,1.95,1150
200,E2BA315MLC2,2980,95,95,94,0.9,325,7,641,2.6,3,2.55,1275
250,E2BA355SMA2,2980,95,95,94,0.9,407,7,801,1.6,3,4.25,1645
315,E2BA355MLA2,2980,95,95,94,0.91,507,7,1009,1.7,3,5.75,1895
355,E2BA355MLC2,2982,95,95,94,0.9,578,7,1137,1.7,3.2,6.525,2000
